id,from_node_id,from_net_id,to_node_id,to_net_id,status
1,1,0,1,1,1
2,2,0,2,1,1
3,3,0,3,1,1
4,4,0,4,1,1
5,5,0,5,1,1
6,6,0,6,1,1
7,7,0,7,1,1
8,8,0,8,1,1
9,9,0,9,1,1
10,10,0,10,1,1
11,11,0,11,1,1
12,12,0,12,1,1
13,13,0,13,1,1
14,14,0,14,1,1
15,15,0,15,1,1
16,16,0,16,1,1
17,17,0,17,1,1
18,18,0,18,1,1
19,19,0,19,1,1
20,20,0,20,1,1
21,1,1,1,0,1
22,2,1,2,0,1
23,3,1,3,0,1
24,4,1,4,0,1
25,5,1,5,0,1
26,6,1,6,0,1
27,7,1,7,0,1
28,8,1,8,0,1
29,9,1,9,0,1
30,10,1,10,0,1
31,11,1,11,0,1
32,12,1,12,0,1
33,13,1,13,0,1
34,14,1,14,0,1
35,15,1,15,0,1
36,16,1,16,0,1
37,17,1,17,0,1
38,18,1,18,0,1
39,19,1,19,0,1
40,33,1,20,0,1
