time,feature,component,id,parameter,value
1,topology,link,12,status,0
1,topology,link,11,status,0
1,flow,link,11,current,0.0
1,flow,link,11,real_power_from,0.0
1,flow,link,11,reactive_power_from,0.0
1,flow,link,11,real_power_to,0.0
1,flow,link,11,reactive_power_to,0.0
1,topology,link,21,status,0
1,flow,link,21,current,0.0
1,flow,link,21,real_power_from,0.0
1,flow,link,21,reactive_power_from,0.0
1,flow,link,21,real_power_to,0.0
1,flow,link,21,reactive_power_to,0.0
1,flow,node,1,real_power,85.6
1,flow,node,2,real_power,-12.0
1,flow,node,3,real_power,310.0
1,flow,node,4,real_power,488.0
1,flow,node,5,real_power,-12.0
1,flow,node,6,real_power,-12.0
1,flow,node,7,real_power,221.8
1,flow,node,8,real_power,510.0
1,flow,node,9,real_power,-5.5
1,flow,node,10,real_power,-12.0
1,flow,node,11,real_power,-12.0
1,flow,node,12,real_power,-3.470000000000004
1,flow,node,13,real_power,-12.0
1,flow,node,14,real_power,-12.0
1,flow,node,15,real_power,308.0
1,flow,node,16,real_power,317.0
1,flow,node,17,real_power,-12.0
1,flow,node,18,real_power,146.0
1,flow,node,19,real_power,-12.0
1,flow,node,1,real_power,97.6
1,flow,node,2,real_power,0.0
1,flow,node,3,real_power,322.0
1,flow,node,4,real_power,500.0
1,flow,node,5,real_power,0.0
1,flow,node,6,real_power,0.0
1,flow,node,7,real_power,233.8
1,flow,node,8,real_power,522.0
1,flow,node,9,real_power,6.5
1,flow,node,10,real_power,0.0
1,flow,node,11,real_power,0.0
1,flow,node,12,real_power,8.529999999999996
1,flow,node,13,real_power,0.0
1,flow,node,14,real_power,0.0
1,flow,node,15,real_power,320.0
1,flow,node,16,real_power,329.0
1,flow,node,17,real_power,0.0
1,flow,node,18,real_power,158.0
1,flow,node,19,real_power,0.0
1,flow,node,20,real_power,692.0
1,topology,link,1,status,0
1,flow,link,1,current,0.0
1,flow,link,1,real_power_from,0.0
1,flow,link,1,reactive_power_from,0.0
1,flow,link,1,real_power_to,0.0
1,flow,link,1,reactive_power_to,0.0
1,topology,link,2,status,0
1,flow,link,2,current,0.0
1,flow,link,2,real_power_from,0.0
1,flow,link,2,reactive_power_from,0.0
1,flow,link,2,real_power_to,0.0
1,flow,link,2,reactive_power_to,0.0
1,topology,link,6,status,0
1,flow,link,6,current,0.0
1,flow,link,6,real_power_from,0.0
1,flow,link,6,reactive_power_from,0.0
1,flow,link,6,real_power_to,0.0
1,flow,link,6,reactive_power_to,0.0
1,topology,link,7,status,0
1,flow,link,7,current,0.0
1,flow,link,7,real_power_from,0.0
1,flow,link,7,reactive_power_from,0.0
1,flow,link,7,real_power_to,0.0
1,flow,link,7,reactive_power_to,0.0
1,topology,link,8,status,0
1,flow,link,8,current,0.0
1,flow,link,8,real_power_from,0.0
1,flow,link,8,reactive_power_from,0.0
1,flow,link,8,real_power_to,0.0
1,flow,link,8,reactive_power_to,0.0
1,topology,link,16,status,0
1,flow,link,16,current,0.0
1,flow,link,16,real_power_from,0.0
1,flow,link,16,reactive_power_from,0.0
1,flow,link,16,real_power_to,0.0
1,flow,link,16,reactive_power_to,0.0
1,topology,link,17,status,0
1,flow,link,17,current,0.0
1,flow,link,17,real_power_from,0.0
1,flow,link,17,reactive_power_from,0.0
1,flow,link,17,real_power_to,0.0
1,flow,link,17,reactive_power_to,0.0
1,topology,link,24,status,0
1,flow,link,24,current,0.0
1,flow,link,24,real_power_from,0.0
1,flow,link,24,reactive_power_from,0.0
1,flow,link,24,real_power_to,0.0
1,flow,link,24,reactive_power_to,0.0
1,topology,link,26,status,0
1,flow,link,26,current,0.0
1,flow,link,26,real_power_from,0.0
1,flow,link,26,reactive_power_from,0.0
1,flow,link,26,real_power_to,0.0
1,flow,link,26,reactive_power_to,0.0
1,topology,link,31,status,0
1,flow,link,31,current,0.0
1,flow,link,31,real_power_from,0.0
1,flow,link,31,reactive_power_from,0.0
1,flow,link,31,real_power_to,0.0
1,flow,link,31,reactive_power_to,0.0
1,flow,node,1,real_power,109.6
1,flow,node,2,real_power,12.0
1,flow,node,3,real_power,334.0
1,flow,node,4,real_power,512.0
1,flow,node,5,real_power,12.0
1,flow,node,6,real_power,12.0
1,flow,node,10,real_power,12.0
1,flow,node,11,real_power,12.0
1,flow,node,12,real_power,20.529999999999994
1,flow,node,13,real_power,12.0
1,flow,node,14,real_power,12.0
1,flow,node,7,real_power,245.8
1,flow,node,8,real_power,534.0
1,flow,node,9,real_power,18.5
1,flow,node,15,real_power,332.0
1,flow,node,16,real_power,341.0
